"worker_id","Sex","blue","green","red"
"s004","0",715.125,788.5625,785.1875
"s016","1",658.666666666667,687.875,710.793103448276
"s087","1",842.375,799.0625,817.875
"s088","0",694.5625,660.71875,638.34375
"s092","1",750.392857142857,795.931034482759,693.645161290323
"s156","0",750.225806451613,686.62962962963,649.233333333333
"s158","1",704.71875,691,639.375
"s180","0",828.846153846154,827.428571428571,750.806451612903
"s190","0",690.677419354839,677.645161290323,600.90625
"s213","1",765.806451612903,680.391304347826,674.032258064516
"s216","1",877.034482758621,788.483870967742,701.90625
"s218","1",816.769230769231,758.451612903226,776.6
"s223","0",834.333333333333,752.653846153846,737.6875
"s272","0",935.5,900.366666666667,717.230769230769
"s278","1",553.354838709677,567.666666666667,575.6
"s309","0",770.290322580645,683.84375,642.5625
"s331","1",662,718.21875,702.5
"s350","1",635.483870967742,713.612903225806,668.259259259259
"s357","1",683.15625,692.0625,562.15625
"s369","1",772.285714285714,754.192307692308,754.642857142857
"s373","0",873.766666666667,882.416666666667,884.238095238095
"s375","0",852.741935483871,913.9,807.41935483871
"s379","1",739.53125,721.166666666667,652.59375
"s407","1",735.451612903226,779,690.78125
"s465","1",958.708333333333,956,843.178571428571
"s470","0",696.451612903226,649.625,586.84375
"s482","1",658.193548387097,642.322580645161,662.46875
"s522","1",548.096774193548,576.903225806452,483.935483870968
"s524","1",901.571428571429,976.947368421053,881.555555555556
"s542","0",652.58064516129,634.074074074074,650.655172413793
