condition,rt,subject
incongruent,1141,s000
congruent,1048,s000
congruent,855,s000
congruent,421,s000
congruent,694,s000
incongruent,1347,s000
congruent,839,s000
congruent,988,s000
incongruent,32,s000
incongruent,1127,s000
congruent,1070,s000
incongruent,887,s000
congruent,844,s000
incongruent,1362,s000
congruent,747,s000
incongruent,1003,s000
incongruent,938,s000
incongruent,1161,s000
congruent,1060,s000
incongruent,923,s000
congruent,787,s000
incongruent,899,s000
congruent,762,s000
congruent,679,s000
congruent,690,s000
congruent,604,s000
congruent,586,s000
congruent,639,s000
congruent,568,s000
congruent,858,s000
congruent,821,s000
incongruent,993,s000
congruent,701,s000
congruent,528,s000
congruent,779,s000
congruent,580,s000
incongruent,932,s000
incongruent,1142,s000
incongruent,1273,s000
incongruent,849,s000
congruent,1022,s000
congruent,624,s000
incongruent,936,s000
incongruent,850,s000
incongruent,914,s000
congruent,710,s000
congruent,1158,s000
congruent,623,s000
incongruent,831,s000
incongruent,740,s000
congruent,945,s000
incongruent,753,s000
congruent,692,s000
congruent,755,s000
incongruent,759,s000
congruent,638,s000
incongruent,925,s000
incongruent,838,s000
incongruent,867,s000
congruent,938,s000
incongruent,932,s000
incongruent,1279,s000
congruent,753,s000
congruent,571,s000
incongruent,734,s000
congruent,625,s000
congruent,691,s000
congruent,472,s000
congruent,595,s000
congruent,598,s000
incongruent,693,s000
incongruent,709,s000
congruent,584,s000
congruent,839,s000
incongruent,702,s000
incongruent,538,s000
incongruent,550,s000
incongruent,641,s000
incongruent,627,s000
congruent,674,s000
incongruent,780,s000
congruent,622,s000
congruent,546,s000
incongruent,674,s000
incongruent,771,s000
incongruent,851,s000
incongruent,1059,s000
incongruent,951,s000
incongruent,926,s000
incongruent,1030,s000
congruent,666,s000
incongruent,522,s000
congruent,528,s000
congruent,546,s000
incongruent,771,s000
congruent,978,s000
congruent,839,s000
congruent,509,s000
incongruent,573,s000
incongruent,759,s000
incongruent,698,s000
incongruent,386,s000
congruent,520,s000
incongruent,568,s000
incongruent,529,s000
incongruent,754,s000
incongruent,586,s000
incongruent,1113,s000
incongruent,1364,s000
congruent,877,s000
congruent,1305,s000
congruent,697,s000
congruent,763,s000
incongruent,996,s000
