"worker_id","Sex","RelationshipStatus","rt"
"s004","0","1",762.958333333333
"s016","1","1",685.549450549451
"s087","1","1",819.770833333333
"s088","0","3",664.541666666667
"s092","1","2",745.409090909091
"s156","0","1",696.284090909091
"s158","1","2",678.095744680851
"s180","0","1",799.917647058823
"s190","0","1",655.81914893617
"s213","1","2",709.223529411765
"s216","1","1",786.282608695652
"s218","1","3",782.137931034483
"s223","0","2",775.056818181818
"s272","0","1",853.439024390244
"s278","1","3",565.406593406593
"s309","0","2",698.147368421053
"s331","1","3",694.925531914894
"s350","1","1",672.640449438202
"s357","1","3",645.791666666667
"s369","1","1",760.524390243902
"s373","0","3",879.466666666667
"s375","0","1",857.413043478261
"s379","1","2",704.074468085106
"s407","1","2",734.129032258065
"s465","1","3",916.835443037975
"s470","0","1",643.757894736842
"s482","1","2",654.414893617021
"s522","1","3",536.311827956989
"s524","1","2",913.621621621622
"s542","0","2",646.195402298851
