income,raven,ethical,financial,health_safety,recreational,social,self_control,self_regulation
55000,6,1.833333333,4.333333333,1.333333333,2.333333333,4.166666667,56,133
22000,12,1.5,3.666666667,1.333333333,2.166666667,3.833333333,43,132
50000,13,1,2.833333333,1.166666667,3,4,64,150
30000,6,3,3.5,2.166666667,4,4.333333333,27,107
18000,16,3.333333333,2.5,1.666666667,4.833333333,3.666666667,37,69
65000,7,1.833333333,3.333333333,1.5,4,2.666666667,43,116
82000,12,3.666666667,3.666666667,2.5,2.666666667,3.333333333,41,115
20000,11,2,1.833333333,2.5,2.833333333,6.666666667,51,149
60000,12,1.5,4,1.5,6.333333333,3.666666667,47,128
69000,12,2,3.5,2,4.166666667,5.333333333,49,139
63000,16,1,2.833333333,1.166666667,4,4.333333333,56,126
30000,12,1,4,1.166666667,1.833333333,3.666666667,44,116
90000,13,3,3,2.5,3.5,4.666666667,41,118
15000,10,2.833333333,2.333333333,2.166666667,3.666666667,3.833333333,41,96
19000,3,2.5,3,3.333333333,3.5,3.833333333,44,98.5
54000,11,2.666666667,4.333333333,2.166666667,3.166666667,4.166666667,48,119
125000,8,1.666666667,3.333333333,1.5,3.333333333,4.166666667,49,117
35000,15,1.666666667,2.333333333,1.5,3.333333333,4.5,41,111
12000,12,1.666666667,3,2,4.5,5,31,81
50000,7,4,5,1.166666667,3,4.833333333,39,137
42000,14,3.666666667,2,1.166666667,2.166666667,2.833333333,55,125
25000,12,2,2.833333333,2.333333333,4,3.5,36,94
35000,16,3,2,1.333333333,3,3,51,115
15000,7,2,2.333333333,1,2.333333333,2.333333333,48,123
149000,18,3.833333333,5.166666667,1.833333333,3.666666667,4.5,53,113
45000,12,2.5,3.166666667,1.166666667,2.666666667,3.5,42,80
35000,5,2.166666667,2.833333333,1.833333333,4.5,4.833333333,45,117
88600,13,1.5,3.333333333,2.333333333,3.166666667,4.333333333,54,134
55000,3,1,2.5,1,4,4,51,132
36000,7,1.5,3.333333333,1,5.666666667,5.333333333,37,88
10000,11,1.5,1,1.166666667,3.166666667,2.666666667,39,99
32000,11,3,4.333333333,1.5,1.166666667,4.833333333,26,73
78000,5,2.5,2.5,1.166666667,1.666666667,4.5,41,114
65000,8,2.833333333,3.666666667,1.833333333,3.5,4.833333333,54,127
80000,12,2.333333333,2.833333333,2.166666667,3.833333333,4,50,120
43500,12,1.5,1,1,1.5,3,41,89
34000,3,1.5,2,1,4,3.333333333,30,51
24000,12,1.833333333,2.166666667,1.166666667,1.333333333,3.333333333,57,118
30000,15,1.166666667,1.166666667,1,2.166666667,3.5,41,117
60000,16,1.666666667,2.666666667,1.666666667,4.333333333,3.666666667,55,121
12000,8,3.666666667,3.166666667,1.666666667,4.166666667,4.833333333,42,119
137000,15,2.5,3.5,1.333333333,2.166666667,4.333333333,61,145
65000,6,1.333333333,2.166666667,1,1.833333333,3.5,37,120
40000,10,1,1,2.5,4,5.666666667,54,140
22000,8,3.5,1.5,1.833333333,1.833333333,4.833333333,21,55
15000,10,3,4.5,1.5,3.166666667,4.333333333,38,120.5
40000,8,2.166666667,2.166666667,1,4.333333333,4.166666667,51,128
