"condition","rt","subject"
"congruent",880,"s061"
"congruent",664,"s061"
"incongruent",1127,"s061"
"incongruent",882,"s061"
"congruent",583,"s061"
"incongruent",672,"s061"
"congruent",594,"s061"
"congruent",765,"s061"
"congruent",627,"s061"
"congruent",686,"s061"
"incongruent",762,"s061"
"incongruent",590,"s061"
"incongruent",640,"s061"
"congruent",624,"s061"
"congruent",607,"s061"
"incongruent",778,"s061"
"incongruent",639,"s061"
"congruent",618,"s061"
"incongruent",556,"s061"
"incongruent",568,"s061"
"congruent",762,"s061"
"congruent",765,"s061"
"incongruent",759,"s061"
"incongruent",990,"s061"
"incongruent",657,"s061"
"congruent",563,"s061"
"incongruent",687,"s061"
"congruent",803,"s061"
"congruent",683,"s061"
"congruent",638,"s061"
"congruent",770,"s061"
"incongruent",696,"s061"
"incongruent",730,"s061"
"incongruent",908,"s061"
"incongruent",705,"s061"
"congruent",711,"s061"
"incongruent",798,"s061"
"congruent",665,"s061"
"congruent",727,"s061"
"incongruent",620,"s061"
"incongruent",781,"s061"
"incongruent",693,"s061"
"congruent",689,"s061"
"incongruent",875,"s061"
"congruent",814,"s061"
"incongruent",894,"s061"
"congruent",905,"s061"
"incongruent",672,"s061"
"incongruent",937,"s061"
"congruent",765,"s061"
"incongruent",610,"s061"
"congruent",705,"s061"
"congruent",1109,"s061"
"incongruent",710,"s061"
"incongruent",516,"s061"
"congruent",456,"s061"
"congruent",761,"s061"
"incongruent",649,"s061"
"incongruent",630,"s061"
"congruent",673,"s061"
"congruent",823,"s061"
"incongruent",945,"s061"
"congruent",593,"s061"
"congruent",545,"s061"
"congruent",883,"s061"
"congruent",694,"s061"
"incongruent",714,"s061"
"incongruent",1265,"s061"
"congruent",943,"s061"
"incongruent",704,"s061"
"incongruent",955,"s061"
"congruent",657,"s061"
"incongruent",659,"s061"
"congruent",703,"s061"
"incongruent",456,"s061"
"incongruent",823,"s061"
"congruent",529,"s061"
"incongruent",759,"s061"
"incongruent",705,"s061"
"congruent",601,"s061"
"congruent",849,"s061"
"incongruent",745,"s061"
"congruent",954,"s061"
"incongruent",846,"s061"
"incongruent",641,"s061"
"incongruent",1235,"s061"
"congruent",593,"s061"
"congruent",563,"s061"
"incongruent",1141,"s061"
"congruent",643,"s061"
"congruent",606,"s061"
"incongruent",965,"s061"
"congruent",641,"s061"
"congruent",630,"s061"
"incongruent",495,"s061"
"incongruent",844,"s061"
"incongruent",531,"s061"
"congruent",567,"s061"
"incongruent",583,"s061"
"congruent",755,"s061"
"congruent",923,"s061"
"congruent",783,"s061"
"incongruent",737,"s061"
"congruent",517,"s061"
"congruent",891,"s061"
"incongruent",714,"s061"
"incongruent",1057,"s061"
"congruent",704,"s061"
"incongruent",940,"s061"
"incongruent",583,"s061"
"congruent",1161,"s061"
"congruent",574,"s061"
"congruent",845,"s061"
"incongruent",876,"s061"
"congruent",935,"s061"
"congruent",580,"s061"
"incongruent",592,"s061"
"incongruent",604,"s061"
"incongruent",796,"s061"
"congruent",583,"s061"
"incongruent",1229,"s075"
"congruent",966,"s075"
"incongruent",697,"s075"
"congruent",745,"s075"
"incongruent",607,"s075"
"congruent",865,"s075"
"congruent",620,"s075"
"congruent",868,"s075"
"congruent",554,"s075"
"incongruent",725,"s075"
"congruent",609,"s075"
"incongruent",616,"s075"
"incongruent",534,"s075"
"congruent",585,"s075"
"congruent",780,"s075"
"incongruent",852,"s075"
"incongruent",842,"s075"
"congruent",645,"s075"
"incongruent",641,"s075"
"congruent",497,"s075"
"incongruent",703,"s075"
"congruent",787,"s075"
"incongruent",605,"s075"
"incongruent",726,"s075"
"incongruent",741,"s075"
"incongruent",588,"s075"
"congruent",922,"s075"
"congruent",597,"s075"
"congruent",553,"s075"
"congruent",737,"s075"
"congruent",566,"s075"
"incongruent",784,"s075"
"congruent",547,"s075"
"incongruent",828,"s075"
"congruent",578,"s075"
"incongruent",532,"s075"
"incongruent",631,"s075"
"incongruent",975,"s075"
"incongruent",565,"s075"
"incongruent",640,"s075"
"congruent",555,"s075"
"congruent",467,"s075"
"congruent",569,"s075"
"congruent",676,"s075"
"congruent",527,"s075"
"incongruent",520,"s075"
"congruent",525,"s075"
"incongruent",546,"s075"
"incongruent",629,"s075"
"incongruent",598,"s075"
"congruent",533,"s075"
"congruent",464,"s075"
"incongruent",667,"s075"
"congruent",547,"s075"
"incongruent",761,"s075"
"incongruent",741,"s075"
"congruent",812,"s075"
"incongruent",610,"s075"
"congruent",517,"s075"
"incongruent",688,"s075"
"congruent",520,"s075"
