"condition","rt","subject"
"incongruent",655,"s075"
"incongruent",618,"s075"
"congruent",700,"s075"
"incongruent",723,"s075"
"incongruent",849,"s075"
"congruent",1253,"s075"
"congruent",593,"s075"
"incongruent",906,"s075"
"congruent",607,"s075"
"congruent",906,"s075"
"incongruent",709,"s075"
"incongruent",590,"s075"
"congruent",508,"s075"
"congruent",687,"s075"
"incongruent",714,"s075"
"congruent",722,"s075"
"congruent",505,"s075"
"congruent",685,"s075"
"congruent",633,"s075"
"incongruent",705,"s075"
"congruent",687,"s075"
"congruent",898,"s075"
"incongruent",822,"s075"
"incongruent",518,"s075"
"incongruent",932,"s075"
"incongruent",679,"s075"
"incongruent",594,"s075"
"congruent",738,"s075"
"incongruent",616,"s075"
"incongruent",588,"s075"
"incongruent",742,"s075"
"incongruent",703,"s075"
"incongruent",979,"s075"
"incongruent",630,"s075"
"congruent",616,"s075"
"incongruent",919,"s075"
"congruent",668,"s075"
"incongruent",983,"s075"
"incongruent",730,"s075"
"congruent",603,"s075"
"congruent",760,"s075"
"congruent",1027,"s075"
"congruent",670,"s075"
"congruent",662,"s075"
"congruent",588,"s075"
"incongruent",711,"s075"
"incongruent",634,"s075"
"congruent",1138,"s075"
"incongruent",760,"s075"
"congruent",707,"s075"
"congruent",630,"s075"
"congruent",679,"s075"
"incongruent",741,"s075"
"incongruent",728,"s075"
"congruent",540,"s075"
"congruent",669,"s075"
"incongruent",731,"s075"
"congruent",591,"s075"
"incongruent",689,"s075"
"congruent",1131,"s109"
"congruent",557,"s109"
"congruent",418,"s109"
"congruent",421,"s109"
"incongruent",551,"s109"
"incongruent",743,"s109"
"congruent",646,"s109"
"incongruent",904,"s109"
"congruent",675,"s109"
"incongruent",950,"s109"
"incongruent",564,"s109"
"incongruent",641,"s109"
"congruent",1123,"s109"
"incongruent",1196,"s109"
"incongruent",591,"s109"
"incongruent",853,"s109"
"congruent",569,"s109"
"incongruent",654,"s109"
"congruent",565,"s109"
"congruent",435,"s109"
"incongruent",749,"s109"
"congruent",644,"s109"
"congruent",512,"s109"
"incongruent",536,"s109"
"incongruent",1235,"s109"
"incongruent",688,"s109"
"incongruent",677,"s109"
"congruent",625,"s109"
"incongruent",760,"s109"
"incongruent",596,"s109"
"incongruent",498,"s109"
"congruent",529,"s109"
"incongruent",720,"s109"
"congruent",558,"s109"
"congruent",419,"s109"
"incongruent",738,"s109"
"congruent",639,"s109"
"congruent",465,"s109"
"congruent",584,"s109"
"incongruent",720,"s109"
"incongruent",700,"s109"
"incongruent",1023,"s109"
"incongruent",626,"s109"
"incongruent",738,"s109"
"incongruent",799,"s109"
"congruent",592,"s109"
"congruent",567,"s109"
"incongruent",932,"s109"
"incongruent",734,"s109"
"incongruent",602,"s109"
"incongruent",593,"s109"
"congruent",386,"s109"
"incongruent",517,"s109"
"congruent",547,"s109"
"congruent",540,"s109"
"incongruent",733,"s109"
"incongruent",609,"s109"
"incongruent",656,"s109"
"congruent",573,"s109"
"congruent",638,"s109"
"incongruent",582,"s109"
"congruent",548,"s109"
"congruent",622,"s109"
"congruent",518,"s109"
"congruent",438,"s109"
"incongruent",734,"s109"
"congruent",595,"s109"
"congruent",524,"s109"
"incongruent",699,"s109"
"incongruent",717,"s109"
"incongruent",737,"s109"
"congruent",660,"s109"
"incongruent",529,"s109"
"congruent",595,"s109"
"incongruent",691,"s109"
"congruent",562,"s109"
"incongruent",785,"s109"
"congruent",585,"s109"
"incongruent",727,"s109"
"congruent",587,"s109"
"incongruent",635,"s109"
"congruent",654,"s109"
"incongruent",1161,"s109"
"incongruent",914,"s109"
"congruent",573,"s109"
"congruent",890,"s109"
"congruent",511,"s109"
"congruent",685,"s109"
"incongruent",1159,"s109"
"congruent",692,"s109"
"incongruent",869,"s109"
"incongruent",872,"s109"
"congruent",668,"s109"
"congruent",618,"s109"
"congruent",695,"s109"
"congruent",907,"s109"
"congruent",930,"s109"
"incongruent",1167,"s109"
"congruent",573,"s109"
"incongruent",953,"s109"
"incongruent",608,"s109"
"incongruent",843,"s109"
"incongruent",766,"s109"
"congruent",711,"s109"
"incongruent",769,"s109"
"incongruent",681,"s109"
"congruent",895,"s109"
"incongruent",731,"s109"
"congruent",679,"s109"
"congruent",766,"s109"
"congruent",698,"s109"
"congruent",580,"s109"
"congruent",585,"s109"
"incongruent",573,"s109"
"congruent",645,"s109"
"incongruent",836,"s109"
"congruent",619,"s109"
"incongruent",818,"s109"
"congruent",544,"s109"
"congruent",624,"s109"
"incongruent",1219,"s117"
"congruent",501,"s117"
"incongruent",633,"s117"
"incongruent",1097,"s117"
"incongruent",664,"s117"
"congruent",608,"s117"
"incongruent",1236,"s117"
"congruent",561,"s117"
"congruent",1033,"s117"
"incongruent",733,"s117"
"incongruent",1187,"s117"
"incongruent",985,"s117"
"congruent",867,"s117"
"congruent",1041,"s117"
"incongruent",923,"s117"
"congruent",974,"s117"
"congruent",799,"s117"
"incongruent",718,"s117"
"congruent",818,"s117"
"incongruent",1000,"s117"
"congruent",749,"s117"
"incongruent",552,"s117"
"congruent",585,"s117"
"congruent",817,"s117"
"congruent",631,"s117"
"congruent",539,"s117"
"incongruent",715,"s117"
"incongruent",620,"s117"
"incongruent",599,"s117"
"congruent",533,"s117"
"congruent",604,"s117"
"congruent",842,"s117"
"congruent",744,"s117"
"congruent",705,"s117"
"incongruent",971,"s117"
"incongruent",1282,"s117"
"congruent",1060,"s117"
"congruent",579,"s117"
"congruent",917,"s117"
"incongruent",667,"s117"
"congruent",638,"s117"
"incongruent",934,"s117"
"incongruent",676,"s117"
"incongruent",810,"s117"
"congruent",581,"s117"
"incongruent",1370,"s117"
"congruent",1143,"s117"
"congruent",780,"s117"
"incongruent",606,"s117"
"incongruent",849,"s117"
"congruent",620,"s117"
"congruent",617,"s117"
"congruent",617,"s117"
"incongruent",817,"s117"
"congruent",848,"s117"
"congruent",511,"s117"
"incongruent",1101,"s117"
"incongruent",926,"s117"
"congruent",639,"s117"
"incongruent",917,"s117"
"incongruent",1194,"s117"
"incongruent",737,"s117"
"incongruent",973,"s117"
"incongruent",829,"s117"
"incongruent",1319,"s117"
"congruent",714,"s117"
"congruent",596,"s117"
"congruent",542,"s117"
"incongruent",809,"s117"
"incongruent",766,"s117"
"congruent",604,"s117"
"incongruent",844,"s117"
"congruent",618,"s117"
"incongruent",772,"s117"
"congruent",584,"s117"
"congruent",668,"s117"
"incongruent",603,"s117"
"incongruent",873,"s117"
"congruent",547,"s117"
"incongruent",782,"s117"
"congruent",712,"s117"
"congruent",605,"s117"
"incongruent",768,"s117"
"congruent",684,"s117"
"congruent",620,"s117"
"incongruent",612,"s117"
"congruent",1027,"s117"
"incongruent",1029,"s117"
"incongruent",686,"s117"
"incongruent",799,"s117"
"incongruent",1031,"s117"
"congruent",695,"s117"
"incongruent",611,"s117"
"congruent",701,"s117"
"incongruent",906,"s117"
"congruent",652,"s117"
"incongruent",689,"s117"
"congruent",637,"s117"
"incongruent",1208,"s117"
"incongruent",701,"s117"
"incongruent",864,"s117"
"congruent",963,"s117"
"congruent",1121,"s117"
"congruent",893,"s117"
"congruent",639,"s117"
"congruent",558,"s117"
"incongruent",834,"s117"
"congruent",1049,"s117"
"congruent",934,"s117"
"incongruent",1201,"s117"
"incongruent",883,"s117"
"congruent",647,"s117"
"congruent",669,"s117"
"incongruent",1467,"s117"
"incongruent",1122,"s117"
"congruent",717,"s117"
"incongruent",947,"s117"
"incongruent",969,"s117"
"congruent",791,"s117"
"incongruent",1156,"s119"
"incongruent",946,"s119"
"incongruent",595,"s119"
"incongruent",689,"s119"
"incongruent",724,"s119"
"congruent",569,"s119"
"incongruent",636,"s119"
"incongruent",530,"s119"
"congruent",667,"s119"
"congruent",662,"s119"
"congruent",886,"s119"
"congruent",648,"s119"
"congruent",847,"s119"
"congruent",478,"s119"
"incongruent",718,"s119"
"congruent",491,"s119"
"congruent",721,"s119"
"congruent",638,"s119"
"incongruent",896,"s119"
"incongruent",824,"s119"
"congruent",699,"s119"
"congruent",558,"s119"
"incongruent",905,"s119"
"incongruent",656,"s119"
"congruent",655,"s119"
"congruent",520,"s119"
"congruent",445,"s119"
"congruent",478,"s119"
"congruent",522,"s119"
"congruent",691,"s119"
"incongruent",666,"s119"
"congruent",492,"s119"
"congruent",553,"s119"
"congruent",636,"s119"
"incongruent",683,"s119"
"incongruent",792,"s119"
"incongruent",560,"s119"
"incongruent",852,"s119"
"incongruent",696,"s119"
"congruent",789,"s119"
"congruent",481,"s119"
"incongruent",813,"s119"
"incongruent",724,"s119"
"incongruent",665,"s119"
"congruent",861,"s119"
"incongruent",963,"s119"
"congruent",986,"s119"
"incongruent",840,"s119"
"congruent",639,"s119"
"incongruent",910,"s119"
"incongruent",831,"s119"
"incongruent",976,"s119"
"incongruent",901,"s119"
"incongruent",613,"s119"
"congruent",588,"s119"
"incongruent",1214,"s119"
"incongruent",733,"s119"
"congruent",762,"s119"
"congruent",565,"s119"
"congruent",501,"s119"
"incongruent",726,"s119"
"incongruent",948,"s119"
"incongruent",702,"s119"
"incongruent",774,"s119"
"congruent",1040,"s119"
"incongruent",723,"s119"
"congruent",475,"s119"
"incongruent",1492,"s119"
"congruent",738,"s119"
"incongruent",679,"s119"
"congruent",666,"s119"
"incongruent",1048,"s119"
"incongruent",633,"s119"
"congruent",716,"s119"
"incongruent",1190,"s119"
"congruent",601,"s119"
"congruent",584,"s119"
"incongruent",694,"s119"
"incongruent",786,"s119"
"incongruent",718,"s119"
"incongruent",810,"s119"
"congruent",666,"s119"
"incongruent",790,"s119"
"incongruent",835,"s119"
"incongruent",1203,"s119"
"incongruent",1208,"s119"
"incongruent",998,"s119"
"congruent",809,"s119"
"congruent",681,"s119"
"congruent",777,"s119"
"congruent",967,"s119"
"incongruent",797,"s119"
"congruent",468,"s119"
"incongruent",790,"s119"
"congruent",705,"s119"
"incongruent",866,"s119"
"congruent",639,"s119"
"congruent",652,"s119"
"incongruent",1032,"s119"
"congruent",649,"s119"
"incongruent",1036,"s119"
"congruent",561,"s119"
"congruent",517,"s119"
"congruent",480,"s119"
"congruent",677,"s119"
"incongruent",833,"s119"
"congruent",786,"s119"
"congruent",570,"s119"
"incongruent",872,"s119"
"incongruent",839,"s119"
"congruent",531,"s119"
"congruent",855,"s119"
"congruent",531,"s119"
"congruent",516,"s119"
"congruent",767,"s119"
"incongruent",1101,"s119"
"incongruent",522,"s119"
"congruent",607,"s119"
"incongruent",739,"s126"
"incongruent",878,"s126"
"incongruent",763,"s126"
"congruent",479,"s126"
"incongruent",784,"s126"
"congruent",484,"s126"
"incongruent",1061,"s126"
"incongruent",899,"s126"
"congruent",544,"s126"
"incongruent",963,"s126"
"congruent",753,"s126"
"congruent",619,"s126"
"congruent",428,"s126"
"congruent",1000,"s126"
"congruent",1077,"s126"
"incongruent",1119,"s126"
"congruent",1033,"s126"
"congruent",1065,"s126"
"congruent",646,"s126"
"incongruent",1011,"s126"
"incongruent",711,"s126"
"incongruent",1023,"s126"
"congruent",973,"s126"
"congruent",1219,"s126"
"incongruent",619,"s126"
"congruent",1047,"s126"
"congruent",1288,"s126"
"congruent",946,"s126"
"congruent",812,"s126"
"congruent",822,"s126"
"congruent",732,"s126"
"congruent",640,"s126"
"incongruent",983,"s126"
"incongruent",748,"s126"
"incongruent",1270,"s126"
"congruent",1363,"s126"
"congruent",903,"s126"
"incongruent",782,"s126"
"incongruent",897,"s126"
"incongruent",884,"s126"
"incongruent",929,"s126"
"incongruent",854,"s126"
"congruent",483,"s126"
"incongruent",758,"s126"
"incongruent",1368,"s126"
"congruent",1072,"s126"
"incongruent",1318,"s126"
"congruent",1109,"s126"
"incongruent",719,"s126"
"congruent",1204,"s126"
"incongruent",1202,"s126"
"congruent",949,"s126"
"incongruent",926,"s126"
"congruent",907,"s126"
"incongruent",765,"s126"
"incongruent",837,"s126"
"congruent",782,"s126"
"congruent",628,"s126"
"incongruent",1222,"s126"
"congruent",637,"s126"
"incongruent",389,"s126"
"congruent",741,"s126"
"incongruent",735,"s126"
"congruent",535,"s126"
"incongruent",1185,"s126"
"congruent",1398,"s126"
"congruent",574,"s126"
"congruent",737,"s126"
"incongruent",691,"s126"
"congruent",765,"s126"
"congruent",488,"s126"
"congruent",469,"s126"
"incongruent",809,"s126"
"congruent",788,"s126"
"incongruent",779,"s126"
"incongruent",958,"s126"
"congruent",803,"s126"
"congruent",869,"s126"
"incongruent",765,"s126"
"incongruent",941,"s126"
"congruent",845,"s126"
"congruent",682,"s126"
"congruent",795,"s126"
"congruent",716,"s126"
"incongruent",1010,"s126"
"incongruent",1088,"s126"
"congruent",1216,"s126"
"congruent",817,"s126"
"incongruent",1241,"s126"
"congruent",797,"s126"
"incongruent",628,"s126"
"incongruent",926,"s126"
"incongruent",1155,"s126"
"congruent",1126,"s126"
"congruent",740,"s126"
"incongruent",842,"s126"
"incongruent",870,"s126"
"incongruent",705,"s126"
"incongruent",926,"s126"
"incongruent",1318,"s126"
"incongruent",1238,"s126"
"congruent",555,"s126"
"incongruent",870,"s126"
"congruent",712,"s126"
"incongruent",701,"s126"
"incongruent",749,"s126"
"congruent",945,"s126"
"congruent",707,"s126"
"incongruent",1451,"s126"
"congruent",984,"s126"
"incongruent",1374,"s126"
"congruent",1095,"s126"
"incongruent",1041,"s126"
"congruent",1066,"s126"
"congruent",1003,"s126"
"incongruent",860,"s126"
"incongruent",1441,"s126"
"congruent",787,"s126"
"congruent",939,"s162"
"congruent",1180,"s162"
"incongruent",1487,"s162"
"congruent",693,"s162"
"incongruent",1463,"s162"
"congruent",1152,"s162"
"incongruent",1043,"s162"
"incongruent",1075,"s162"
"congruent",1167,"s162"
"congruent",749,"s162"
"congruent",1257,"s162"
"incongruent",730,"s162"
"incongruent",660,"s162"
"incongruent",1109,"s162"
"congruent",1061,"s162"
"incongruent",1449,"s162"
"congruent",1322,"s162"
"congruent",1062,"s162"
"congruent",1195,"s162"
"incongruent",1145,"s162"
"congruent",1168,"s162"
"congruent",1068,"s162"
"congruent",1074,"s162"
"incongruent",1103,"s162"
"incongruent",1161,"s162"
"incongruent",1148,"s162"
"incongruent",920,"s162"
"incongruent",1093,"s162"
"congruent",999,"s162"
"congruent",1251,"s162"
"congruent",703,"s162"
"incongruent",1034,"s162"
"incongruent",792,"s162"
"incongruent",1067,"s162"
"congruent",931,"s162"
"incongruent",1161,"s162"
"congruent",961,"s162"
"incongruent",857,"s162"
"incongruent",978,"s162"
"congruent",973,"s162"
"congruent",1023,"s162"
"congruent",809,"s162"
"congruent",847,"s162"
"congruent",674,"s162"
"incongruent",1127,"s162"
"incongruent",1268,"s162"
"incongruent",1148,"s162"
"incongruent",1037,"s162"
"incongruent",979,"s162"
"congruent",1093,"s162"
"congruent",999,"s162"
"incongruent",1068,"s162"
"congruent",1124,"s162"
"incongruent",1012,"s162"
"congruent",1107,"s162"
"incongruent",1471,"s162"
"congruent",1400,"s162"
"incongruent",1309,"s162"
"congruent",880,"s162"
"incongruent",1068,"s162"
"congruent",731,"s162"
"congruent",832,"s162"
"congruent",752,"s162"
"incongruent",1339,"s162"
"incongruent",1144,"s162"
"congruent",910,"s162"
"incongruent",1067,"s162"
"incongruent",1327,"s162"
"incongruent",1096,"s162"
"congruent",970,"s162"
"congruent",884,"s162"
"incongruent",1146,"s162"
"incongruent",1341,"s162"
"congruent",1254,"s162"
"incongruent",1216,"s162"
"congruent",1034,"s162"
"congruent",1034,"s162"
"congruent",761,"s162"
"congruent",672,"s162"
"congruent",681,"s162"
"congruent",682,"s162"
"congruent",1099,"s162"
"congruent",1207,"s162"
"incongruent",1063,"s162"
"congruent",1049,"s162"
"congruent",1073,"s162"
"congruent",1002,"s162"
"congruent",744,"s162"
"incongruent",1139,"s162"
"incongruent",1415,"s162"
"congruent",791,"s162"
"congruent",1068,"s162"
"incongruent",957,"s162"
"congruent",1103,"s162"
"incongruent",876,"s162"
"incongruent",1024,"s162"
"incongruent",1071,"s162"
"incongruent",1227,"s162"
"incongruent",1089,"s162"
"congruent",833,"s162"
"incongruent",1404,"s162"
"congruent",1052,"s162"
"incongruent",1212,"s162"
"congruent",817,"s162"
"incongruent",1083,"s162"
"incongruent",1404,"s162"
"incongruent",921,"s162"
"congruent",1178,"s162"
"congruent",1109,"s162"
"congruent",766,"s162"
"congruent",1152,"s162"
"incongruent",1214,"s162"
"congruent",1403,"s162"
"congruent",1288,"s182"
"congruent",499,"s182"
"incongruent",429,"s182"
"incongruent",641,"s182"
"congruent",648,"s182"
"incongruent",851,"s182"
"congruent",612,"s182"
"congruent",732,"s182"
"congruent",447,"s182"
"congruent",471,"s182"
"incongruent",855,"s182"
"incongruent",640,"s182"
"incongruent",630,"s182"
"incongruent",535,"s182"
"incongruent",593,"s182"
"congruent",746,"s182"
"incongruent",561,"s182"
"congruent",459,"s182"
"incongruent",476,"s182"
"incongruent",514,"s182"
"incongruent",525,"s182"
"congruent",985,"s182"
"congruent",624,"s182"
"congruent",435,"s182"
"congruent",640,"s182"
"incongruent",456,"s182"
"congruent",971,"s182"
"congruent",527,"s182"
"incongruent",836,"s182"
"congruent",595,"s182"
"congruent",683,"s182"
"congruent",642,"s182"
"congruent",497,"s182"
"congruent",546,"s182"
"incongruent",664,"s182"
"congruent",845,"s182"
"congruent",700,"s182"
"incongruent",664,"s182"
"incongruent",572,"s182"
"congruent",755,"s182"
"congruent",519,"s182"
"incongruent",1075,"s182"
"congruent",598,"s182"
"congruent",531,"s182"
"congruent",659,"s182"
"incongruent",825,"s182"
"incongruent",658,"s182"
"congruent",564,"s182"
"congruent",483,"s182"
"incongruent",639,"s182"
"incongruent",577,"s182"
"congruent",1108,"s182"
"congruent",828,"s182"
"incongruent",609,"s182"
"incongruent",530,"s182"
"congruent",580,"s182"
"incongruent",476,"s182"
"incongruent",783,"s182"
"incongruent",479,"s182"
"incongruent",771,"s182"
"congruent",430,"s182"
"incongruent",694,"s182"
"incongruent",893,"s182"
"congruent",603,"s182"
"incongruent",762,"s182"
"incongruent",432,"s182"
"congruent",536,"s182"
"incongruent",836,"s182"
"congruent",916,"s182"
"congruent",385,"s182"
"congruent",823,"s182"
"incongruent",659,"s182"
"incongruent",859,"s182"
"incongruent",744,"s182"
"incongruent",594,"s182"
"incongruent",686,"s182"
"incongruent",751,"s182"
"congruent",523,"s182"
"congruent",605,"s182"
"incongruent",517,"s182"
"congruent",574,"s182"
"congruent",436,"s182"
"incongruent",829,"s182"
"incongruent",745,"s182"
"incongruent",809,"s182"
"congruent",702,"s182"
"congruent",606,"s182"
"congruent",544,"s182"
"incongruent",878,"s182"
"congruent",630,"s182"
"congruent",569,"s182"
"congruent",673,"s182"
"incongruent",741,"s182"
"incongruent",642,"s182"
"incongruent",602,"s182"
"incongruent",870,"s182"
"incongruent",1069,"s182"
"congruent",525,"s182"
"congruent",566,"s182"
"incongruent",575,"s182"
"congruent",481,"s182"
"incongruent",737,"s182"
"incongruent",619,"s182"
"incongruent",671,"s182"
"incongruent",761,"s182"
"incongruent",695,"s182"
"incongruent",1080,"s182"
"congruent",701,"s182"
"congruent",539,"s182"
"incongruent",996,"s182"
"congruent",603,"s182"
"congruent",581,"s182"
"congruent",553,"s182"
"incongruent",581,"s182"
"incongruent",783,"s182"
"congruent",753,"s182"
"congruent",556,"s182"
"incongruent",788,"s182"
"incongruent",1069,"s196"
"incongruent",1477,"s196"
"incongruent",958,"s196"
"congruent",1390,"s196"
"congruent",1143,"s196"
"congruent",1071,"s196"
"incongruent",1080,"s196"
"congruent",770,"s196"
"incongruent",1148,"s196"
"incongruent",1012,"s196"
"congruent",509,"s196"
"incongruent",1063,"s196"
"congruent",832,"s196"
"incongruent",1065,"s196"
"congruent",849,"s196"
"congruent",793,"s196"
"congruent",787,"s196"
"congruent",827,"s196"
"incongruent",836,"s196"
"congruent",638,"s196"
"congruent",823,"s196"
"incongruent",960,"s196"
"congruent",605,"s196"
"incongruent",997,"s196"
"congruent",862,"s196"
"incongruent",647,"s196"
"congruent",513,"s196"
"congruent",602,"s196"
"incongruent",916,"s196"
"congruent",684,"s196"
"incongruent",1061,"s196"
"congruent",782,"s196"
"congruent",489,"s196"
"incongruent",899,"s196"
"incongruent",988,"s196"
"congruent",549,"s196"
"incongruent",1071,"s196"
"incongruent",680,"s196"
"incongruent",561,"s196"
"congruent",713,"s196"
"incongruent",866,"s196"
"congruent",522,"s196"
"congruent",612,"s196"
"incongruent",877,"s196"
"congruent",580,"s196"
"congruent",653,"s196"
"incongruent",951,"s196"
"congruent",704,"s196"
"congruent",537,"s196"
"congruent",553,"s196"
"congruent",642,"s196"
"congruent",539,"s196"
"congruent",660,"s196"
"congruent",653,"s196"
"incongruent",1078,"s196"
"incongruent",927,"s196"
"congruent",936,"s196"
"incongruent",865,"s196"
"incongruent",953,"s196"
"congruent",705,"s196"
"incongruent",839,"s196"
"incongruent",959,"s196"
"congruent",759,"s196"
"incongruent",1024,"s196"
"congruent",649,"s196"
"congruent",594,"s196"
"incongruent",699,"s196"
"congruent",740,"s196"
"incongruent",842,"s196"
"congruent",675,"s196"
"incongruent",813,"s196"
"congruent",679,"s196"
"incongruent",1119,"s196"
"congruent",696,"s196"
"congruent",690,"s196"
"congruent",651,"s196"
"incongruent",900,"s196"
"incongruent",750,"s196"
"incongruent",840,"s196"
"incongruent",626,"s196"
"incongruent",1083,"s196"
"congruent",532,"s196"
"congruent",461,"s196"
"incongruent",502,"s196"
"incongruent",909,"s196"
"incongruent",711,"s196"
"congruent",689,"s196"
"incongruent",791,"s196"
"congruent",640,"s196"
"congruent",730,"s196"
"incongruent",803,"s196"
"incongruent",845,"s196"
"incongruent",1031,"s196"
"incongruent",960,"s196"
"congruent",713,"s196"
"congruent",532,"s196"
"incongruent",734,"s196"
"incongruent",808,"s196"
"congruent",578,"s196"
"congruent",621,"s196"
"congruent",487,"s196"
"incongruent",930,"s196"
"congruent",636,"s196"
"congruent",566,"s196"
"incongruent",529,"s196"
"incongruent",476,"s196"
"incongruent",646,"s196"
"incongruent",688,"s196"
"congruent",441,"s196"
"incongruent",658,"s196"
"incongruent",649,"s196"
"incongruent",675,"s196"
"congruent",652,"s196"
"congruent",615,"s196"
"incongruent",703,"s196"
"congruent",584,"s196"
"incongruent",770,"s196"
"congruent",42,"s206"
"incongruent",825,"s206"
"congruent",888,"s206"
"incongruent",812,"s206"
"congruent",837,"s206"
"incongruent",1329,"s206"
"incongruent",1370,"s206"
"congruent",860,"s206"
"incongruent",1247,"s206"
"congruent",909,"s206"
"congruent",911,"s206"
"incongruent",1330,"s206"
"incongruent",694,"s206"
"congruent",546,"s206"
"incongruent",1268,"s206"
"congruent",699,"s206"
"congruent",554,"s206"
"congruent",983,"s206"
"incongruent",1135,"s206"
"congruent",753,"s206"
"incongruent",1014,"s206"
"congruent",651,"s206"
"congruent",677,"s206"
"incongruent",482,"s206"
"incongruent",764,"s206"
"congruent",640,"s206"
"congruent",674,"s206"
"congruent",750,"s206"
"congruent",525,"s206"
"congruent",984,"s206"
"incongruent",663,"s206"
"incongruent",1419,"s206"
"congruent",616,"s206"
"congruent",597,"s206"
"incongruent",878,"s206"
"congruent",1055,"s206"
"congruent",567,"s206"
"congruent",504,"s206"
"congruent",1089,"s206"
"incongruent",513,"s206"
