,Sex,Race,HouseholdIncome,Race_black,Race_white,ravens.score,self_regulation,Alcohol
s263,0,Choose not to respond,54000,0,0,7,109,0
s264,1, Black or African American,55000,1,0,7,119,0
s265,0,White,92500,0,1,6,114,1
s266,0,White,65000,0,1,5,136,0
s267,0,White,60000,0,1,10,133,1
s268,1,White,105000,0,1,14,136,0
s269,1,White,60000,0,1,7,124,1
s270,1,White,25000,0,1,11,122.5,0
s271,0,White,45000,0,1,17,122,0
s272,0,White,40000,0,1,1,92.5,1
s273,0,White,48000,0,1,14,132,0
s274,0,White,22000,0,1,18,113,1
s275,0,White,55000,0,1,4,150,0
s276,0,White,59000,0,1,2,139,1
s277,1,White,40000,0,1,9,135,0
s278,1,White,58000,0,1,15,,1
s279,1,White,23000,0,1,4,106.5,0
s280,1, Asian Indian,90000,0,0,16,127,0
s282,0,White,50000,0,1,2,138,0
s283,0,White,75000,0,1,14,99,1
s284,0,Japanese,60000,0,0,17,98,0
s285,1, Black or African American,31000,1,0,9,111,0
s286,0,White,30000,0,1,3,143,0
s288,0,White,24000,0,1,9,102,0
s289,1,White,55000,0,1,2,141,0
s290,0,White,14000,0,1,1,102,0
s291,1,White,103000,0,1,6,102,0
s292,1,White,110000,0,1,15,117,0
s293,1,White,75000,0,1,15,112.5,0
s294,1,White,5000,0,1,12,102,0
s295,0,White,70000,0,1,6,140,0
s296,1,White,50000,0,1,13,124,1
s297,1,White,49000,0,1,7,133.5,0
s298,1, Black or African American,60000,1,0,6,121,1
s299,1,Japanese,55000,0,0,10,126,0
s301,0,White,37000,0,1,6,145,0
s302,0,White,112000,0,1,9,133,1
s303,0,White,80000,0,1,5,138.5,1
s304,1,White,23000,0,1,4,91,1
s305,0,White,30000,0,1,8,113,0
s307,0,White,48000,0,1,11,138,1
s308,0,White,80000,0,1,12,147,1
s309,0,White,97500,0,1,7,148,1
s311,1,White,20000,0,1,13,132,0
s312,0,Chinese,50000,0,0,12,73,0
s313,1, American Indian or Alaska Native,22000,0,0,7,146,0
s314,0,White,30000,0,1,3,114,1
s315,1,White,40000,0,1,2,110.5,0
s316,1,White,64000,0,1,14,128,0
s317,1,White,32000,0,1,7,147,0
s319,1, Black or African American,19000,1,0,5,127,1
s320,0,White,25000,0,1,0,114,0
s321,1,White,20900,0,1,9,105,0
s322,1,White,10000,0,1,14,112,1
s323,0,White,37000,0,1,12,133,1
s324,0,White,95000,0,1,3,142,0
s325,1,White,60000,0,1,7,132,0
s326,0,White,33000,0,1,7,124,0
s327,1,White,42000,0,1,5,132,1
s328,0,White,37000,0,1,7,136,0
s329,1,White,41000,0,1,12,142,1
s330,0,Other,24000,0,0,9,125,1
s331,1, Vietnamese,40000,0,0,9,118,0
s332,0,White,25000,0,1,3,112,0
s333,0,White,15000,0,1,10,137,0
s334,1,White,69000,0,1,6,125,0
s335,0,White,30000,0,1,12,68,1
s336,0,Chinese,35000,0,0,5,97,0
s337,1, Black or African American,52000,1,0,5,109,0
s338,1,White,15000,0,1,16,95,1
s339,1,White,74000,0,1,13,128,1
s340,0,White,62000,0,1,9,125,1
s341,1, Black or African American,60000,1,0,3,143,1
s342,0,White,10000,0,1,1,138,1
s343,1,Chinese,11000,0,0,14,81.5,0
s344,0,White,55000,0,1,7,109,1
s345,0,White,20000,0,1,8,107.5,1
s346,0, Black or African American,85000,1,0,6,149,0
s347,0,White,67000,0,1,14,144,1
s348,0,White,30000,0,1,1,122,1
s349,0,White,75000,0,1,14,121,1
s350,1,White,60000,0,1,9,114,1
s351,1,White,35000,0,1,3,141,0
s352,1,White,50000,0,1,4,145,1
s353,1, Black or African American,20000,1,0,1,100,1
s354,1,White,49999,0,1,8,129,0
s355,0,White,70000,0,1,9,97,0
s356,0,White,25000,0,1,14,135,0
