"condition","correct","key_press","rt","trial_ids","subj_id"
1,"1",71,526,1,"60"
0,"1",82,474,2,"60"
0,"1",82,581,8,"60"
1,"1",71,497,10,"60"
1,"1",66,473,16,"60"
0,"1",71,463,18,"60"
1,"1",66,513,21,"60"
1,"1",71,495,23,"60"
1,"1",71,441,24,"60"
0,"1",82,411,25,"60"
0,"1",66,502,28,"60"
1,"1",82,704,29,"60"
0,"1",71,547,39,"60"
0,"1",66,644,40,"60"
1,"1",71,620,41,"60"
1,"1",71,627,43,"60"
0,"1",66,628,56,"60"
1,"1",66,459,67,"60"
0,"1",66,480,87,"60"
0,"1",66,452,95,"60"
0,"1",82,799,1,"50"
1,"1",66,677,2,"50"
1,"1",66,640,8,"50"
0,"1",71,731,10,"50"
1,"1",82,931,16,"50"
0,"1",71,678,18,"50"
0,"1",82,750,21,"50"
1,"1",66,652,23,"50"
1,"1",82,774,24,"50"
0,"1",82,675,25,"50"
0,"0",71,622,28,"50"
1,"1",66,636,29,"50"
0,"1",66,682,39,"50"
0,"1",66,538,40,"50"
0,"1",66,552,41,"50"
0,"1",66,592,43,"50"
1,"1",71,539,56,"50"
0,"1",66,956,67,"50"
1,"1",82,715,87,"50"
1,"1",71,951,95,"50"
0,"1",82,923,1,"27"
1,"1",71,593,2,"27"
0,"1",82,869,8,"27"
0,"1",66,1040,10,"27"
1,"1",82,571,16,"27"
1,"1",71,526,18,"27"
0,"1",66,1049,21,"27"
0,"1",66,841,23,"27"
1,"1",82,582,24,"27"
0,"1",66,651,25,"27"
1,"1",71,877,28,"27"
1,"1",66,545,29,"27"
0,"1",71,556,39,"27"
1,"1",66,616,40,"27"
1,"1",71,598,41,"27"
1,"1",82,554,43,"27"
1,"1",66,920,56,"27"
0,"1",71,848,67,"27"
0,"1",66,484,87,"27"
1,"0",71,545,95,"27"
0,"1",82,869,1,"63"
0,"1",71,991,2,"63"
1,"1",71,729,8,"63"
0,"1",66,605,10,"63"
1,"1",66,764,16,"63"
0,"1",71,834,18,"63"
0,"1",71,702,21,"63"
0,"1",82,879,23,"63"
1,"1",82,1015,24,"63"
1,"1",71,1111,25,"63"
0,"1",66,682,28,"63"
1,"1",71,565,29,"63"
1,"1",71,543,39,"63"
0,"1",82,767,40,"63"
1,"1",66,785,41,"63"
1,"1",66,750,43,"63"
0,"1",71,516,56,"63"
0,"1",66,733,67,"63"
1,"1",66,575,87,"63"
0,"0",71,645,95,"63"
1,"1",71,596,1,"02"
1,"1",82,546,2,"02"
0,"1",71,801,8,"02"
0,"1",82,742,10,"02"
0,"1",82,841,16,"02"
0,"1",66,545,18,"02"
1,"1",82,716,21,"02"
1,"1",71,580,23,"02"
0,"1",66,964,24,"02"
0,"1",71,688,25,"02"
1,"1",71,509,28,"02"
0,"1",71,711,29,"02"
1,"1",71,722,39,"02"
1,"1",66,445,40,"02"
0,"1",66,522,41,"02"
0,"1",71,823,43,"02"
1,"1",66,535,56,"02"
1,"1",66,885,67,"02"
0,"1",82,744,87,"02"
0,"1",66,1031,95,"02"
