"condition","correct","key_press","rt","trial_ids","subj_id"
0,"1",66,701,1,"10"
0,"1",66,573,2,"10"
0,"0",71,673,8,"10"
0,"1",66,865,13,"10"
1,"1",71,601,14,"10"
0,"1",66,670,18,"10"
1,"1",82,472,20,"10"
1,"1",66,482,22,"10"
0,"1",82,402,27,"10"
1,"1",66,442,28,"10"
1,"1",66,458,36,"10"
0,"1",66,371,43,"10"
1,"0",71,482,45,"10"
1,"1",71,770,49,"10"
0,"1",71,782,54,"10"
0,"1",82,1001,56,"10"
0,"0",82,857,66,"10"
0,"1",71,832,70,"10"
1,"1",82,517,93,"10"
1,"1",71,523,96,"10"
1,"1",66,790,1,"33"
1,"1",71,514,2,"33"
1,"1",66,515,8,"33"
0,"1",71,979,13,"33"
0,"1",82,790,14,"33"
1,"1",82,417,18,"33"
0,"1",71,439,20,"33"
1,"1",82,613,22,"33"
1,"1",71,494,27,"33"
0,"1",71,866,28,"33"
0,"1",66,1333,36,"33"
0,"1",71,567,43,"33"
1,"1",82,438,45,"33"
1,"1",82,530,49,"33"
0,"1",66,819,54,"33"
1,"1",66,969,56,"33"
1,"1",66,412,66,"33"
1,"1",71,576,70,"33"
0,"1",66,820,93,"33"
1,"1",71,431,96,"33"
0,"0",82,619,1,"45"
0,"1",66,667,2,"45"
1,"1",82,770,8,"45"
0,"1",82,592,13,"45"
0,"1",71,590,14,"45"
1,"1",82,911,18,"45"
1,"1",71,833,20,"45"
1,"1",71,667,22,"45"
0,"1",71,631,27,"45"
0,"1",82,919,28,"45"
1,"1",71,762,36,"45"
0,"1",66,834,43,"45"
1,"1",66,584,45,"45"
0,"1",82,592,49,"45"
0,"1",82,903,54,"45"
1,"1",66,547,56,"45"
0,"1",71,771,66,"45"
1,"1",82,731,70,"45"
1,"0",66,1374,93,"45"
1,"1",66,613,1,"68"
0,"1",82,672,2,"68"
0,"1",71,875,8,"68"
0,"1",66,954,13,"68"
1,"1",66,532,14,"68"
1,"1",71,730,18,"68"
0,"1",82,428,20,"68"
0,"1",66,770,22,"68"
1,"1",71,687,27,"68"
1,"1",82,545,28,"68"
1,"1",66,755,36,"68"
0,"1",71,860,43,"68"
1,"1",66,378,45,"68"
1,"1",82,561,49,"68"
1,"1",66,545,54,"68"
0,"1",82,709,56,"68"
0,"1",71,608,66,"68"
1,"1",71,713,70,"68"
0,"1",66,636,93,"68"
0,"1",66,797,1,"99"
1,"1",66,767,2,"99"
0,"1",71,753,8,"99"
1,"1",82,837,13,"99"
0,"1",66,750,14,"99"
0,"0",71,900,18,"99"
0,"1",71,678,20,"99"
0,"1",66,944,22,"99"
1,"1",66,777,27,"99"
0,"1",66,826,28,"99"
1,"1",66,778,36,"99"
1,"1",71,805,43,"99"
0,"1",71,671,45,"99"
1,"1",82,653,49,"99"
0,"1",82,856,54,"99"
1,"1",71,705,56,"99"
1,"1",71,775,66,"99"
1,"1",71,799,70,"99"
0,"1",71,557,93,"99"
0,"1",66,1011,96,"99"
