"condition","correct","key_press","rt","trial_ids","subj_id"
0,"1",71,638,2,"59"
1,"1",82,703,6,"59"
1,"1",71,591,9,"59"
0,"1",66,853,14,"59"
1,"1",82,535,17,"59"
0,"1",82,622,21,"59"
1,"1",66,804,24,"59"
0,"1",66,653,25,"59"
1,"1",71,724,32,"59"
0,"1",82,815,34,"59"
1,"1",82,699,39,"59"
1,"1",71,553,40,"59"
0,"1",71,718,46,"59"
1,"1",82,592,48,"59"
1,"1",71,664,50,"59"
1,"1",71,600,55,"59"
1,"1",82,823,56,"59"
1,"1",66,540,65,"59"
0,"0",71,797,72,"59"
1,"1",71,604,92,"59"
1,"1",71,575,2,"03"
1,"1",71,620,6,"03"
0,"1",82,748,9,"03"
0,"1",66,840,14,"03"
1,"1",66,598,17,"03"
1,"1",82,666,21,"03"
1,"1",66,883,24,"03"
1,"1",71,788,25,"03"
0,"1",82,1033,32,"03"
0,"1",71,811,34,"03"
0,"1",71,1065,39,"03"
0,"1",82,692,40,"03"
0,"1",66,1018,46,"03"
1,"1",82,634,48,"03"
1,"1",66,904,50,"03"
0,"1",82,680,55,"03"
0,"1",66,833,56,"03"
0,"1",71,1098,65,"03"
1,"1",71,623,72,"03"
1,"1",71,536,92,"03"
1,"1",82,532,2,"23"
1,"1",66,1318,6,"23"
1,"1",71,851,9,"23"
1,"1",82,646,14,"23"
0,"1",82,1192,17,"23"
0,"0",66,858,21,"23"
1,"1",71,977,24,"23"
1,"1",66,1073,25,"23"
0,"1",82,760,32,"23"
1,"1",71,1053,34,"23"
1,"1",82,633,39,"23"
1,"1",66,572,40,"23"
1,"1",71,609,46,"23"
0,"1",66,955,48,"23"
0,"1",71,764,50,"23"
0,"1",82,1181,55,"23"
1,"1",66,632,56,"23"
0,"1",71,563,65,"23"
0,"1",82,846,72,"23"
0,"1",66,1214,92,"23"
1,"1",82,865,2,"46"
0,"1",82,803,6,"46"
0,"1",71,1037,9,"46"
1,"1",71,797,14,"46"
0,"1",66,913,17,"46"
0,"1",82,662,21,"46"
0,"1",71,924,24,"46"
1,"1",66,1308,25,"46"
0,"1",82,862,32,"46"
1,"1",71,1011,34,"46"
0,"1",66,1108,39,"46"
1,"1",82,620,40,"46"
1,"1",82,741,46,"46"
1,"1",71,951,48,"46"
1,"1",71,841,50,"46"
0,"1",71,1014,55,"46"
1,"1",82,685,56,"46"
0,"1",71,851,65,"46"
1,"1",71,934,72,"46"
0,"1",66,820,92,"46"
1,"1",82,912,2,"41"
1,"1",66,1001,6,"41"
1,"1",66,830,9,"41"
0,"1",66,853,14,"41"
0,"1",71,982,17,"41"
0,"1",71,547,21,"41"
0,"1",71,886,24,"41"
1,"1",66,835,25,"41"
0,"1",71,759,32,"41"
0,"1",82,963,34,"41"
0,"1",66,974,39,"41"
1,"1",71,873,40,"41"
1,"1",82,863,46,"41"
0,"1",66,651,48,"41"
0,"1",71,735,50,"41"
0,"1",82,1121,55,"41"
1,"1",71,719,56,"41"
0,"1",71,625,65,"41"
0,"1",82,781,72,"41"
1,"1",82,643,92,"41"
