"condition","correct","key_press","rt","trial_ids","subj_id"
1,"1",82,602,4,"20"
0,"1",71,954,5,"20"
0,"1",66,991,9,"20"
0,"1",66,610,17,"20"
0,"0",82,758,18,"20"
0,"1",71,709,24,"20"
0,"1",82,709,28,"20"
1,"1",71,708,35,"20"
0,"1",82,907,44,"20"
0,"1",82,550,47,"20"
0,"0",66,763,49,"20"
0,"1",71,1289,51,"20"
0,"1",66,661,54,"20"
1,"1",66,1185,63,"20"
1,"1",71,654,69,"20"
0,"1",66,1013,72,"20"
1,"1",82,685,73,"20"
0,"1",71,933,76,"20"
1,"1",82,713,85,"20"
1,"1",66,674,95,"20"
0,"1",71,662,4,"96"
1,"1",66,472,5,"96"
0,"1",66,714,9,"96"
0,"1",66,496,17,"96"
0,"1",71,638,18,"96"
0,"1",82,417,24,"96"
1,"1",82,391,28,"96"
0,"1",66,665,35,"96"
1,"1",71,615,44,"96"
1,"1",66,721,47,"96"
1,"1",82,493,49,"96"
1,"1",82,569,51,"96"
0,"1",71,463,54,"96"
0,"1",66,549,63,"96"
0,"1",82,715,69,"96"
0,"1",66,688,72,"96"
1,"0",82,469,73,"96"
0,"1",82,504,76,"96"
0,"1",71,494,85,"96"
1,"1",71,523,95,"96"
0,"1",66,485,4,"98"
0,"1",66,594,5,"98"
0,"1",82,890,9,"98"
0,"1",82,438,17,"98"
0,"1",71,859,18,"98"
1,"1",71,501,24,"98"
1,"1",66,749,28,"98"
0,"1",82,1016,35,"98"
0,"1",82,906,44,"98"
0,"0",82,1188,47,"98"
0,"0",71,561,49,"98"
1,"1",66,717,51,"98"
0,"1",82,916,54,"98"
1,"1",71,656,63,"98"
1,"1",71,592,69,"98"
0,"1",82,905,72,"98"
0,"1",71,789,73,"98"
1,"1",71,546,76,"98"
0,"1",66,797,85,"98"
0,"1",66,904,4,"64"
1,"1",82,640,5,"64"
1,"1",82,873,9,"64"
0,"1",66,485,17,"64"
0,"1",66,532,18,"64"
0,"1",82,792,24,"64"
0,"1",82,790,28,"64"
1,"1",66,540,35,"64"
1,"1",82,622,44,"64"
0,"1",71,1039,47,"64"
1,"1",66,649,49,"64"
0,"1",82,648,51,"64"
1,"1",66,650,54,"64"
0,"1",66,610,63,"64"
0,"1",82,1210,69,"64"
1,"1",66,554,72,"64"
1,"1",82,549,73,"64"
1,"1",71,769,76,"64"
1,"1",82,1174,85,"64"
0,"1",71,771,95,"64"
1,"1",66,897,4,"31"
0,"1",66,932,5,"31"
0,"1",82,875,9,"31"
0,"1",82,970,17,"31"
0,"1",66,878,18,"31"
1,"1",71,816,24,"31"
1,"1",82,970,28,"31"
0,"1",66,992,35,"31"
1,"1",82,1090,44,"31"
0,"1",82,1093,47,"31"
1,"1",71,1014,49,"31"
0,"1",82,1112,51,"31"
0,"1",66,481,54,"31"
0,"1",66,1117,63,"31"
1,"1",71,742,69,"31"
0,"1",66,943,72,"31"
0,"1",71,905,73,"31"
1,"1",82,838,76,"31"
1,"1",66,896,85,"31"
1,"1",82,827,95,"31"
