"condition","correct","key_press","rt","trial_ids","subj_id"
0,"1",82,618,1,"02"
1,"1",66,674,5,"02"
0,"0",66,672,13,"02"
1,"1",71,672,17,"02"
1,"1",82,485,19,"02"
0,"1",66,828,20,"02"
0,"1",71,484,39,"02"
0,"1",71,672,42,"02"
1,"1",82,487,46,"02"
0,"1",66,750,49,"02"
0,"0",66,869,52,"02"
1,"1",82,551,53,"02"
0,"0",82,693,56,"02"
0,"1",82,593,59,"02"
0,"1",66,668,76,"02"
1,"1",82,494,81,"02"
1,"1",82,535,87,"02"
1,"1",82,468,89,"02"
0,"1",71,781,94,"02"
1,"1",66,874,95,"02"
0,"1",82,654,1,"43"
1,"1",66,628,5,"43"
0,"0",82,1134,13,"43"
0,"1",71,1105,17,"43"
0,"1",82,850,19,"43"
1,"0",82,667,20,"43"
1,"1",82,957,39,"43"
1,"0",71,676,42,"43"
0,"1",66,692,46,"43"
0,"1",66,677,49,"43"
0,"1",71,662,52,"43"
1,"1",82,919,53,"43"
0,"1",71,803,56,"43"
1,"1",71,1101,59,"43"
0,"1",82,1088,76,"43"
1,"1",71,844,81,"43"
0,"1",82,859,87,"43"
0,"1",82,1145,89,"43"
0,"1",66,1091,1,"44"
0,"1",82,428,5,"44"
0,"1",82,481,13,"44"
1,"1",82,1114,17,"44"
0,"1",71,777,19,"44"
0,"1",66,743,20,"44"
0,"1",71,901,39,"44"
0,"1",71,1481,42,"44"
0,"1",66,588,46,"44"
0,"1",66,738,49,"44"
0,"1",82,602,52,"44"
1,"1",82,474,53,"44"
0,"0",82,489,56,"44"
1,"1",71,628,59,"44"
1,"1",66,674,76,"44"
1,"0",82,489,81,"44"
1,"1",71,450,87,"44"
1,"1",71,456,89,"44"
1,"1",82,605,94,"44"
1,"1",71,640,95,"44"
0,"1",66,782,1,"16"
1,"1",66,736,5,"16"
1,"1",82,648,13,"16"
0,"1",66,786,17,"16"
0,"0",66,830,19,"16"
0,"1",71,1328,20,"16"
1,"1",82,574,39,"16"
1,"1",71,737,42,"16"
0,"1",82,982,46,"16"
1,"1",66,872,49,"16"
0,"1",66,1283,52,"16"
1,"1",71,1146,53,"16"
0,"1",82,871,56,"16"
1,"1",66,792,59,"16"
1,"1",71,842,76,"16"
0,"1",66,922,81,"16"
1,"1",71,718,87,"16"
1,"1",71,645,89,"16"
0,"1",66,838,94,"16"
0,"1",71,986,95,"16"
1,"1",66,995,1,"85"
1,"1",66,1330,5,"85"
1,"1",82,449,13,"85"
0,"1",66,673,17,"85"
1,"1",71,423,19,"85"
0,"1",71,699,20,"85"
0,"1",82,877,39,"85"
0,"1",82,714,42,"85"
1,"1",82,994,46,"85"
1,"1",82,748,49,"85"
0,"1",71,885,52,"85"
0,"1",82,792,53,"85"
0,"1",71,1217,56,"85"
0,"1",66,500,59,"85"
0,"1",82,636,76,"85"
0,"1",66,599,81,"85"
0,"1",82,440,87,"85"
0,"1",66,839,89,"85"
