"condition","correct","key_press","rt","trial_ids","subj_id"
0,"1",66,1032,2,"01"
1,"1",71,732,5,"01"
1,"1",82,744,11,"01"
1,"1",82,660,13,"01"
1,"1",66,619,16,"01"
0,"1",82,518,27,"01"
0,"1",71,598,30,"01"
0,"1",71,483,36,"01"
1,"1",82,562,49,"01"
1,"1",71,625,67,"01"
0,"1",71,837,72,"01"
1,"1",82,814,73,"01"
0,"1",66,771,74,"01"
1,"1",82,725,78,"01"
0,"1",82,629,81,"01"
1,"1",66,665,82,"01"
1,"1",66,619,83,"01"
1,"1",71,917,85,"01"
0,"1",66,725,90,"01"
1,"1",82,659,92,"01"
0,"1",66,573,2,"10"
1,"1",82,523,5,"10"
0,"1",66,930,11,"10"
0,"1",66,865,13,"10"
1,"1",66,387,16,"10"
0,"1",82,402,27,"10"
1,"1",71,521,30,"10"
1,"1",66,458,36,"10"
1,"1",71,770,49,"10"
1,"1",66,488,67,"10"
1,"1",71,474,72,"10"
1,"1",66,760,73,"10"
1,"1",82,693,74,"10"
0,"1",66,574,78,"10"
0,"1",66,654,81,"10"
1,"0",82,367,82,"10"
0,"0",82,465,83,"10"
1,"1",66,608,85,"10"
0,"1",71,1111,90,"10"
1,"1",66,599,92,"10"
1,"1",66,691,2,"25"
0,"1",71,812,5,"25"
1,"1",66,674,11,"25"
0,"1",82,698,13,"25"
1,"1",66,879,16,"25"
0,"1",82,845,27,"25"
0,"1",71,1044,30,"25"
0,"1",82,684,36,"25"
1,"1",71,534,49,"25"
1,"1",82,642,67,"25"
0,"1",82,678,72,"25"
1,"1",82,466,73,"25"
1,"1",66,923,74,"25"
1,"1",66,484,78,"25"
0,"1",82,570,81,"25"
0,"1",66,1209,82,"25"
1,"1",71,678,83,"25"
0,"1",66,852,85,"25"
0,"1",66,669,90,"25"
0,"1",82,641,92,"25"
0,"1",82,746,2,"93"
0,"1",82,622,5,"93"
1,"1",82,602,11,"93"
0,"1",71,823,13,"93"
1,"1",71,609,16,"93"
1,"1",66,911,27,"93"
1,"1",71,561,30,"93"
0,"0",66,811,36,"93"
1,"1",66,641,49,"93"
0,"1",71,1272,67,"93"
0,"1",82,720,72,"93"
1,"1",71,602,73,"93"
1,"1",71,531,74,"93"
0,"0",66,933,78,"93"
0,"1",71,955,81,"93"
1,"1",66,607,82,"93"
1,"1",66,582,83,"93"
0,"1",66,1267,85,"93"
1,"1",82,623,90,"93"
0,"1",66,942,92,"93"
1,"1",82,637,2,"49"
0,"1",66,590,5,"49"
1,"1",82,572,11,"49"
0,"1",66,741,13,"49"
0,"1",66,861,16,"49"
0,"1",66,628,27,"49"
0,"1",66,689,30,"49"
1,"1",82,532,36,"49"
0,"1",82,925,49,"49"
1,"1",82,534,67,"49"
0,"1",82,631,72,"49"
1,"1",66,992,73,"49"
0,"1",66,600,74,"49"
0,"1",82,788,78,"49"
1,"1",66,577,81,"49"
0,"1",71,736,82,"49"
0,"1",82,841,83,"49"
1,"1",82,460,85,"49"
1,"1",82,566,90,"49"
0,"1",82,591,92,"49"
