"condition","correct","key_press","rt","trial_ids","subj_id"
0,"1",82,463,2,"29"
0,"1",71,652,14,"29"
0,"1",71,849,17,"29"
0,"1",71,640,18,"29"
0,"1",71,699,28,"29"
0,"1",82,600,30,"29"
0,"1",82,791,34,"29"
1,"1",71,384,39,"29"
0,"1",82,830,47,"29"
0,"1",66,619,50,"29"
0,"1",82,1138,52,"29"
1,"1",71,473,65,"29"
1,"1",71,499,68,"29"
1,"1",82,609,71,"29"
0,"1",66,495,76,"29"
1,"1",82,597,78,"29"
1,"1",66,556,80,"29"
0,"1",66,749,83,"29"
0,"0",66,718,88,"29"
1,"1",82,454,94,"29"
1,"1",82,613,2,"32"
1,"1",71,1394,14,"32"
0,"1",71,696,17,"32"
1,"1",66,829,18,"32"
0,"1",82,707,28,"32"
0,"1",66,690,30,"32"
0,"1",82,606,34,"32"
1,"1",82,615,39,"32"
1,"1",82,414,47,"32"
0,"1",82,539,50,"32"
1,"0",71,799,52,"32"
0,"1",71,620,65,"32"
1,"1",66,653,68,"32"
0,"1",71,636,71,"32"
0,"1",66,854,76,"32"
1,"1",66,602,78,"32"
0,"1",66,676,80,"32"
1,"1",66,582,83,"32"
0,"1",71,831,88,"32"
0,"1",66,606,94,"32"
1,"1",71,596,2,"70"
1,"1",71,648,14,"70"
1,"1",71,501,17,"70"
1,"1",82,567,18,"70"
0,"1",82,616,28,"70"
0,"1",66,631,30,"70"
0,"1",71,699,34,"70"
1,"1",71,728,39,"70"
1,"1",82,545,47,"70"
0,"0",71,629,50,"70"
0,"1",71,950,52,"70"
0,"0",66,580,65,"70"
0,"1",66,666,68,"70"
1,"1",71,552,71,"70"
1,"1",66,459,76,"70"
0,"1",66,713,78,"70"
1,"1",66,528,80,"70"
0,"1",66,687,83,"70"
1,"1",71,605,88,"70"
1,"1",82,501,94,"70"
1,"1",66,648,2,"23"
0,"1",82,774,14,"23"
1,"1",71,771,17,"23"
0,"1",82,789,18,"23"
1,"1",82,708,28,"23"
0,"1",71,799,30,"23"
0,"1",66,1231,34,"23"
0,"1",66,852,39,"23"
0,"1",82,851,47,"23"
1,"1",82,595,50,"23"
0,"1",71,786,52,"23"
1,"1",66,572,65,"23"
1,"1",82,554,68,"23"
0,"1",66,782,71,"23"
0,"1",71,469,76,"23"
0,"1",82,798,78,"23"
0,"1",66,933,80,"23"
1,"1",66,596,83,"23"
1,"1",71,500,88,"23"
0,"1",71,677,94,"23"
0,"1",82,469,2,"95"
0,"1",71,401,14,"95"
1,"1",82,736,17,"95"
1,"1",71,447,18,"95"
1,"1",71,471,28,"95"
1,"1",71,472,30,"95"
1,"1",66,428,34,"95"
1,"1",82,608,39,"95"
0,"1",71,899,47,"95"
1,"1",82,537,50,"95"
0,"1",66,708,52,"95"
0,"1",82,465,65,"95"
0,"1",66,739,68,"95"
0,"1",82,888,71,"95"
1,"1",66,550,76,"95"
1,"1",82,544,78,"95"
0,"1",71,570,80,"95"
1,"1",71,496,83,"95"
1,"1",66,459,88,"95"
0,"1",82,596,94,"95"
