"condition","correct","key_press","rt","trial_ids","subj_id"
0,"1",82,822,2,"58"
0,"1",71,827,3,"58"
1,"1",66,632,13,"58"
1,"1",71,642,14,"58"
1,"1",66,680,16,"58"
0,"1",66,869,22,"58"
1,"1",66,608,27,"58"
1,"1",71,661,29,"58"
1,"1",66,586,31,"58"
1,"1",82,492,34,"58"
1,"1",66,553,44,"58"
1,"1",82,594,45,"58"
1,"1",82,572,53,"58"
1,"1",66,651,54,"58"
1,"1",66,594,75,"58"
0,"0",82,749,83,"58"
0,"1",71,1343,85,"58"
1,"1",66,776,90,"58"
0,"1",82,692,91,"58"
0,"1",71,567,93,"58"
0,"1",82,711,2,"61"
1,"1",71,945,3,"61"
1,"1",66,920,13,"61"
1,"1",71,914,14,"61"
0,"1",66,1151,16,"61"
1,"1",82,458,22,"61"
0,"1",66,863,27,"61"
1,"1",71,834,29,"61"
0,"1",66,991,31,"61"
0,"1",82,649,34,"61"
1,"1",66,692,44,"61"
1,"1",66,622,45,"61"
0,"1",82,598,53,"61"
1,"1",82,656,54,"61"
1,"1",66,975,75,"61"
1,"1",71,886,83,"61"
1,"0",66,586,85,"61"
1,"1",71,630,90,"61"
0,"1",66,1064,2,"85"
1,"1",82,936,3,"85"
0,"1",82,894,13,"85"
0,"0",66,988,14,"85"
1,"1",66,748,16,"85"
0,"1",71,925,22,"85"
1,"1",66,643,27,"85"
0,"1",71,1298,29,"85"
1,"1",71,964,31,"85"
0,"1",82,707,34,"85"
0,"1",82,883,44,"85"
1,"1",71,922,45,"85"
0,"1",71,1227,53,"85"
1,"1",66,908,54,"85"
0,"1",82,1062,75,"85"
1,"1",82,1025,83,"85"
0,"1",82,973,85,"85"
1,"1",82,760,90,"85"
0,"1",82,1346,91,"85"
1,"1",71,693,93,"85"
0,"1",82,651,2,"90"
0,"1",66,781,3,"90"
1,"1",66,619,13,"90"
0,"1",66,565,14,"90"
1,"1",82,493,16,"90"
0,"1",66,443,22,"90"
0,"1",66,675,27,"90"
1,"1",82,570,29,"90"
1,"1",66,723,31,"90"
0,"1",71,894,34,"90"
0,"1",71,671,44,"90"
0,"1",71,600,45,"90"
1,"1",71,717,53,"90"
0,"1",71,639,54,"90"
0,"1",82,941,75,"90"
0,"1",82,884,83,"90"
1,"1",66,380,85,"90"
0,"1",71,555,90,"90"
1,"1",71,620,91,"90"
1,"1",82,540,93,"90"
0,"1",82,685,2,"02"
1,"1",82,717,3,"02"
1,"1",71,574,13,"02"
0,"1",71,477,14,"02"
0,"1",66,788,16,"02"
1,"1",82,716,22,"02"
0,"1",71,609,27,"02"
0,"1",66,809,29,"02"
1,"1",71,854,31,"02"
1,"1",66,591,34,"02"
0,"1",66,654,44,"02"
0,"1",71,639,45,"02"
1,"1",66,664,53,"02"
1,"1",82,677,54,"02"
1,"1",66,583,75,"02"
1,"1",66,731,83,"02"
0,"1",71,1051,85,"02"
1,"1",71,1163,90,"02"
1,"1",66,823,91,"02"
1,"1",66,1065,93,"02"
