"condition","correct","key_press","rt","trial_ids","subj_id"
1,"1",71,728,6,"49"
1,"1",66,1209,8,"49"
0,"1",71,1400,9,"49"
0,"1",71,794,16,"49"
1,"1",71,668,17,"49"
0,"1",82,632,24,"49"
1,"1",66,500,26,"49"
1,"1",82,541,35,"49"
0,"1",82,909,41,"49"
0,"1",82,786,52,"49"
0,"1",66,1232,54,"49"
0,"1",71,1043,62,"49"
1,"1",66,471,63,"49"
0,"1",66,655,64,"49"
1,"1",71,1219,71,"49"
1,"1",66,646,74,"49"
0,"1",71,874,79,"49"
0,"1",71,1273,6,"83"
1,"1",66,576,8,"83"
1,"1",66,533,9,"83"
1,"1",66,720,16,"83"
0,"1",82,950,17,"83"
0,"1",71,1063,24,"83"
0,"1",66,893,26,"83"
1,"1",82,882,35,"83"
1,"1",71,763,41,"83"
1,"1",82,1215,52,"83"
1,"1",71,653,54,"83"
0,"1",71,1081,62,"83"
0,"1",66,690,63,"83"
0,"1",71,935,64,"83"
0,"1",82,658,71,"83"
0,"1",82,752,74,"83"
0,"0",82,764,79,"83"
0,"1",82,826,93,"83"
1,"1",82,731,94,"83"
1,"1",82,629,96,"83"
1,"1",71,779,6,"98"
1,"0",71,797,8,"98"
0,"1",82,890,9,"98"
0,"1",82,593,16,"98"
0,"1",82,438,17,"98"
1,"1",71,501,24,"98"
0,"1",71,968,26,"98"
0,"1",82,1016,35,"98"
1,"0",71,734,41,"98"
1,"1",82,953,52,"98"
0,"1",82,916,54,"98"
1,"1",71,547,62,"98"
1,"1",71,656,63,"98"
0,"1",82,781,64,"98"
0,"1",71,891,71,"98"
0,"1",82,547,74,"98"
1,"1",82,1073,79,"98"
0,"1",82,982,6,"98"
0,"1",71,679,8,"98"
1,"1",82,566,9,"98"
1,"1",71,548,16,"98"
0,"1",82,813,17,"98"
1,"1",71,515,24,"98"
1,"1",66,583,26,"98"
0,"0",71,697,35,"98"
1,"1",82,538,41,"98"
1,"1",66,652,52,"98"
0,"1",71,703,54,"98"
0,"0",71,728,62,"98"
1,"0",82,688,63,"98"
1,"1",71,683,64,"98"
1,"1",82,815,71,"98"
1,"1",71,688,74,"98"
0,"1",66,936,79,"98"
1,"1",71,926,93,"98"
0,"1",71,865,94,"98"
0,"1",71,663,6,"50"
1,"1",71,1107,8,"50"
1,"1",66,720,9,"50"
1,"1",82,726,16,"50"
1,"1",82,617,17,"50"
1,"1",71,923,24,"50"
1,"1",66,1196,26,"50"
0,"1",82,922,35,"50"
0,"1",71,776,41,"50"
1,"1",71,810,52,"50"
0,"1",82,795,54,"50"
1,"1",66,690,62,"50"
0,"1",66,870,63,"50"
0,"1",66,681,64,"50"
1,"1",66,887,71,"50"
1,"1",66,1023,74,"50"
1,"1",71,496,79,"50"
1,"1",66,594,93,"50"
1,"1",66,475,94,"50"
0,"1",66,484,96,"50"
